"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"9636",1627.18222346531,-1.54932305502678,0.0623498076883857,-24.8488826584686,2.65878912976047e-136,2.98076849337446e-132
"8638",301.312158930352,-2.12552018514206,0.116873479502792,-18.1865055629775,6.60173467958734e-74,3.70060237464268e-70
"3433",196.995593543671,-2.04977114820565,0.14447947906566,-14.1872822456268,1.09833472375058e-45,4.10447686265591e-42
"6526",9657.61840077535,0.505505169173916,0.0376471986643388,13.4274311797004,4.1764940259243e-41,1.17056686311593e-37
"29968",1523.67077109527,-0.727024886301188,0.0550151869461234,-13.2149852914826,7.19003724179634e-40,1.61215015035557e-36
"960",8935.94222285677,0.475458973088171,0.0373922336103085,12.7154472247706,4.85324879259024e-37,9.06829536895486e-34
"16",4286.42167399355,-0.456685091747953,0.0406734478407548,-11.2280889866031,2.9682898491449e-29,4.75392821410907e-26
"55601",306.090871574867,-1.16679731924147,0.105732645560825,-11.0353553819879,2.58029396321454e-28,3.61595945269978e-25
"7803",6158.63402512234,-0.496378158875276,0.0465428854053956,-10.6649631743229,1.48457849481186e-26,1.8492899450373e-23
"6659",2370.6813974428,0.552974498687337,0.0521150153437905,10.6106559700596,2.65875835239314e-26,2.98073398886794e-23
"4141",955.343354558315,-0.667654116126464,0.0638452967131878,-10.457373534119,1.35561309889212e-25,1.38161622287996e-22
"440",517.89705714252,-0.838314798383476,0.0817762018086442,-10.2513296025307,1.16726673183219e-24,1.09051894421422e-21
"107986827",520.72334100105,-0.815961626176975,0.0815756528476139,-10.0025142023836,1.48576142963416e-23,1.28129779904835e-20
"100505817",2867.61064320294,0.435676863583941,0.0441999104011013,9.85696259631074,6.39548237856459e-23,5.12141092472054e-20
"5420",4374.09230279299,0.419406366238976,0.0430795797142832,9.73561880177583,2.12520244269846e-22,1.58837630567283e-19
"5054",17149.0146461921,0.368120738170041,0.0379559427095207,9.69863246415175,3.05566610002416e-22,2.14106704046068e-19
"833",1851.77671330687,-0.478455782238792,0.0501122109481978,-9.54768854108999,1.32622171195206e-21,8.74604212511442e-19
"11167",1526.24705508743,0.513288970566397,0.0538184616503793,9.53741438952444,1.46437704105573e-21,9.12062833737543e-19
"147920",1526.84184797873,0.506316364178413,0.0533485067181704,9.49073170600974,2.29418170056095e-21,1.35368794973625e-18
"10561",125.251785669017,-1.57650251905665,0.169999547351039,-9.27356892192935,1.80019320465769e-20,1.00909830087087e-17
"7086",12002.48886482,0.36263983071553,0.0391362627951341,9.26608226784031,1.93108847570074e-20,1.03092537624195e-17
"7453",972.085317601856,-0.550638819267744,0.0623490691354201,-8.83154835995667,1.03236544733193e-18,5.26084046819923e-16
"160428",923.284754574896,-0.564443481398262,0.0640240999618752,-8.81610958583368,1.1850550016411e-18,5.77637027104278e-16
"54492",1686.23442865214,0.496736914743229,0.0565865754242482,8.77835265730481,1.65886423275533e-18,7.74896954725832e-16
"7277",3191.23970770322,0.418499398168408,0.0485655277081858,8.61721097077403,6.86046604292675e-18,3.07650739229007e-15
"116496",661.016782040144,-0.623029027374181,0.0723630519857792,-8.60976714327388,7.32091296937728e-18,3.15672135768034e-15
"55240",1571.35476129046,0.463088871557357,0.0541166546301863,8.55723390002468,1.15607827113766e-17,4.62885482061584e-15
"55422",2058.61414330228,-0.42590434376249,0.0497575527812884,-8.5595918600453,1.13267786684162e-17,4.62885482061584e-15
"23657",513.570638625664,-0.696194109661641,0.0841384964968141,-8.27438257929891,1.29122945477123e-16,4.99171497153113e-14
"56937",1335.39134703031,0.497220103373625,0.0601714626177556,8.26338735576794,1.4159581756146e-16,5.29143570227175e-14
"1509",8634.53291727373,0.321073391980665,0.0389719542298855,8.23857561996343,1.74272901345926e-16,6.30249515157799e-14
"3434",110.877670567747,-1.44368320319433,0.176643206322648,-8.17287702849646,3.01120868432133e-16,1.0549581424977e-13
"481",8279.59892706815,0.307101918354627,0.0375991999098449,8.1677780136544,3.14121237239113e-16,1.0671555123296e-13
"214",3596.1133770899,0.361104717455994,0.0444022474133805,8.13257748181404,4.20257406126729e-16,1.38573699414317e-13
"3673",5695.04632524393,0.353325909941137,0.0440808640377386,8.01540345576362,1.09776066449467e-15,3.51628423132851e-13
"1508",4793.17093023847,0.339855882923733,0.0429052112481217,7.9210863444615,2.35444364007844e-15,7.33212990247761e-13
"11260",3613.33294258021,-0.363593664270992,0.0459586064914366,-7.91132917267063,2.54655200042802e-15,7.71605256129689e-13
"84674",1975.84926325831,0.389339938699837,0.0505583957877748,7.7007969227137,1.35220242227916e-14,3.98935298846624e-12
"80830",314.687868243349,-0.778108635154512,0.101144676557197,-7.6930260854064,1.43695202483413e-14,4.13068439754241e-12
"351",8798.836848495,0.281568379262312,0.0371904241515063,7.57099134215998,3.70386740742741e-14,1.03810143761672e-11
"1054",502.555904825309,-0.616884654604586,0.0822672728522329,-7.49854265514094,6.45312538801511e-14,1.76453631036676e-11
"7077",4429.8827184755,0.334718806352015,0.0455789120959071,7.34372083404932,2.0773619022734e-13,5.54507244913978e-11
"3437",156.494945760679,-1.04747741791024,0.143200980751218,-7.31473634059819,2.57887241541222e-13,6.72366015097359e-11
"1999",2855.10973363378,0.328801696841437,0.0451200172795114,7.28726885906452,3.16301308869153e-13,8.05921357666381e-11
"8565",2161.24306119,-0.35518481874905,0.0489298658110529,-7.25905973502213,3.89790321965912e-13,9.71097622124408e-11
"251",9875.6256484641,0.296900508947407,0.0410817363430073,7.22706816645895,4.93532413506529e-13,1.2028243234395e-10
"2617",4181.35823105267,-0.301586197854823,0.0417838217105483,-7.21777438033362,5.28452960060635e-13,1.26052896494463e-10
"5768",8867.30083872324,0.288712424962687,0.0402349472966769,7.17566305813286,7.19575764720833e-13,1.6806591454761e-10
"1627",1232.53584848576,0.406251811245904,0.0576939490691194,7.04149772724345,1.90184318706921e-12,4.35133958576182e-10
"3992",3731.83125117976,0.289679414258646,0.0414812358565068,6.98338437313473,2.88152617956577e-12,6.46095799982238e-10
"780",1197.68129268917,0.39796594883125,0.0570475245706197,6.9760423756618,3.03611185559958e-12,6.67408823786802e-10
"3693",3665.18735208069,0.323098445557218,0.0467517689110822,6.91093520272407,4.81468956201359e-12,1.03802855153335e-09
"57509",1580.38738257459,0.374314728923218,0.054369996696264,6.88458252102376,5.79572496597498e-12,1.22595986025557e-09
"1975",24382.1927659723,0.232576465149151,0.0338465121655169,6.87150463279055,6.35282281701486e-12,1.31891660373247e-09
"1266",1441.91288336099,0.367530946087046,0.0538763517971883,6.82174894600467,8.99387445408605e-12,1.83327866372289e-09
"2348",63738.7938309239,0.235482180236026,0.0346364866035478,6.79867398016939,1.05586450476021e-11,2.11380302908333e-09
"2744",1500.10117770622,0.37294118007666,0.0551080901217535,6.76744883106454,1.31072983111636e-11,2.57799862046412e-09
"2194",2121.91796611698,0.41403974669067,0.0625400218625898,6.62039657741694,3.58236480237364e-11,6.92446410334671e-09
