day_label,date,activity,type,time_1,timezone_1_label
June 17,2026-06-17,Arrivals & Check-in,break,09:30,"Time (NT)"
June 17,2026-06-17,"Welcome (Coordinator)",activity,10:00,"Time (NT)"
June 17,2026-06-17,Module 1 - Intro to RNAseq course/concepts (lecture) (Lourdes Peña-Castillo) (90 mins),activity,10:30,"Time (NT)"
June 17,2026-06-17,Break (30min),break,12:00,"Time (NT)"
June 17,2026-06-17,Module 1 - RNAseq inputs and QC (practical) (Lourdes Peña-Castillo) (60 mins),activity,12:30,"Time (NT)"
June 17,2026-06-17,Lunch (1h),break,13:30,"Time (NT)"
June 17,2026-06-17,Module 1 -  RNAseq inputs and QC (practical cont'd) (Lourdes Peña-Castillo) (120 mins),activity,14:30,"Time (NT)"
June 17,2026-06-17,Break (30min),break,16:30,"Time (NT)"
June 17,2026-06-17,Module 2 - RNA alignment concepts and file formats (lecture) (Virginie Calderon) (90 mins),activity,17:00,"Time (NT)"
June 17,2026-06-17,End of Day 1,break,18:30,"Time (NT)"
June 18,2026-06-18,Arrivals,break,09:30,"Time (NT)"
June 18,2026-06-18,Module 2 - RNA alignment (practical) (Virginie Calderon) (120 mins),activity,10:00,"Time (NT)"
June 18,2026-06-18,Break (30min),break,12:00,"Time (NT)"
June 18,2026-06-18,Module 2 - RNA alignment (practical cont'd) (Virginie Calderon) (60 mins),activity,12:30,"Time (NT)"
June 18,2026-06-18,Lunch (1h),break,13:30,"Time (NT)"
June 18,2026-06-18,Module 3 - RNA Expression and Differential Expression (Lecture) (Lourdes Peña-Castillo) (90 mins),activity,14:30,"Time (NT)"
June 18,2026-06-18,Break (30min),break,16:00,"Time (NT)"
June 18,2026-06-18,Module 3 - RNA Expression and Differential Expression (Practical) (Lourdes Peña-Castillo) (90 mins),activity,16:30,"Time (NT)"
June 18,2026-06-18,End of Day 2,break,18:00,"Time (NT)"
June 19,2026-06-19,Arrivals,break,09:30,"Time (NT)"
June 19,2026-06-19,Module 3 - RNA Expression and Differential Expression (Practical cont'd) (Lourdes Peña-Castillo) (90 mins),activity,10:00,"Time (NT)"
June 19,2026-06-19,Break (30min),break,11:30,"Time (NT)"
June 19,2026-06-19,Module 4 - Enrichment analysis (lecture) (Virginie Calderon) (90 mins),activity,12:00,"Time (NT)"
June 19,2026-06-19,Class Photo + Lunch (1h),break,13:30,"Time (NT)"
June 19,2026-06-19,Module 4 - Enrichment analysis (Practical) (Virginie Calderon) (90 mins),activity,14:30,"Time (NT)"
June 19,2026-06-19,Break (30min),break,16:00,"Time (NT)"
June 19,2026-06-19,Module 4 - Enrichment analysis (Practical cont'd) (Virginie Calderon) (90 mins),activity,16:30,"Time (NT)"
June 19,2026-06-19,Survey & Closing Remarks (30 mins),activity,18:00,"Time (NT)"
June 19,2026-06-19,End of Day 3,break,18:30,"Time (NT)"
